C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_443.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_443.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_443.jpg, 0, 0, 0, 7.868384E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_553.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_553.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_553.jpg, 0, 0, 0, 7.81137E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_659.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_659.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_659.jpg, 0, 0, 0, 7.839982E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_769.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_769.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_769.jpg, 0, 0, 0, 7.80241E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_882.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_882.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_882.jpg, 0, 0, 0, 7.867903E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_21_986.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_21_986.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_21_986.jpg, 0, 0, 0, 7.767259E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_22_094.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_22_094.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_22_094.jpg, 0, 0, 0, 8.172124E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_22_201.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_22_201.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_22_201.jpg, 0, 0, 0, 7.973274E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_22_309.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_22_309.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_22_309.jpg, 0, 0, 0, 8.224082E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_22_413.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_22_413.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_22_413.jpg, 0, 0, 0, 7.846515E-05
C:\Users\akdem\Desktop\IMG\center_2022_07_11_16_39_22_518.jpg, C:\Users\akdem\Desktop\IMG\left_2022_07_11_16_39_22_518.jpg, C:\Users\akdem\Desktop\IMG\right_2022_07_11_16_39_22_518.jpg, 0, 0, 0, 7.83848E-05
